2021,match_rt,phaseout_rt,phaseout_start,takeup_rt,leakage,roi,2022,2023,2024,2025,2026,2027,2028,2029,2030,Total
-31.58410238332129,0.03,0.03,0.5,0.7,0.0,0.03,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.0,0.05,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.0,0.07,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.1,0.03,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.1,0.05,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.1,0.07,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.2,0.03,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.2,0.05,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.2,0.07,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.3,0.03,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.3,0.05,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.3,0.07,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.4,0.03,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
