2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Total,match_rt,phaseout_rt,phaseout_start,takeup_rt,leakage,roi
63.16820476664299,66.46250143145764,70.01176758430086,73.59670020869986,77.21871211702481,80.98821680464563,84.86370114750378,89.01514453229649,93.51907196026846,98.25358654200502,797.0976070948457,0.03,0.03,0.5,0.7,0.0,0.03
63.16820476664299,67.7258655267905,72.66754991302953,77.78550700555095,83.08889325789247,88.6962812448972,94.57693314586085,100.91131215352146,107.79035085320058,115.10881081878918,871.5197086861757,0.03,0.03,0.5,0.7,0.0,0.05
63.16820476664299,68.98922962212336,75.3738668055715,82.13461707883144,89.29815117641364,97.00196508287269,105.23794047739254,114.21012866117763,124.0383107594631,134.64993493555409,954.102349366043,0.03,0.03,0.5,0.7,0.0,0.07
60.00979452831082,63.13937635988468,66.51117920508575,69.91686519826483,73.3577765111736,76.93880596441332,80.62051609012858,84.5643873056816,88.84311836225493,93.34090721490477,757.242726740103,0.03,0.03,0.5,0.7,0.1,0.03
60.00979452831082,64.33957225045091,69.03417241737797,73.8962316552734,78.93444859499786,84.2614671826523,89.84808648856776,95.86574654584533,102.40083331054045,109.35337027784969,827.9437232518665,0.03,0.03,0.5,0.7,0.1,0.05
60.00979452831082,65.53976814101713,71.60517346529284,78.02788622488985,84.83324361759296,92.151866828729,99.97604345352289,108.49962222811867,117.83639522148985,127.91743818877634,906.3972318977403,0.03,0.03,0.5,0.7,0.1,0.07
56.851384289978654,59.81625128831173,63.010590825870636,66.23703018782984,69.49684090532236,72.88939512418102,76.37733103275335,80.11363007906675,84.16716476424139,88.42822788780452,717.3878463853603,0.03,0.03,0.5,0.7,0.2,0.03
56.851384289978654,60.95327897411131,65.40079492172643,70.00695630499582,74.78000393210323,79.8266531204074,85.11923983127468,90.82018093816922,97.0113157678803,103.59792973691023,784.3677378175573,0.03,0.03,0.5,0.7,0.2,0.05
56.851384289978654,62.090306659910894,67.83648012501419,73.92115537094826,80.36833605877227,87.30176857458534,94.7141464296532,102.78911579505976,111.63447968351655,121.18494144199863,858.6921144294377,0.03,0.03,0.5,0.7,0.2,0.07
53.69297405164648,56.49312621673879,59.51000244665551,62.55719517739482,65.63590529947112,68.8399842839487,72.13414597537812,75.66287285245187,79.49121116622786,83.51554856070427,677.5329660306177,0.03,0.03,0.5,0.7,0.3,0.03
53.69297405164648,57.56698569777172,61.76741742607488,66.11768095471825,70.62555926920861,75.3918390581625,80.39039317398161,85.77461533049308,91.62179822522015,97.84248919597076,740.791752383248,0.03,0.03,0.5,0.7,0.3,0.05
53.69297405164648,58.64084517880465,64.06778678473555,69.81442451700666,75.90342849995159,82.45167032044166,89.45224940578355,97.07860936200078,105.43256414554327,114.45244469522089,810.9869969611351,0.03,0.03,0.5,0.7,0.3,0.07
50.53456381331431,53.17000114516584,56.0094140674404,58.87736016695981,61.77496969361988,64.79057344371638,67.8909609180029,71.21211562583699,74.81525756821432,78.60286923360401,637.6780856758749,0.03,0.03,0.5,0.7,0.4,0.03
50.53456381331431,54.18069242143213,58.13403993042333,62.22840560444068,66.47111460631399,70.95702499591762,75.66154651668853,80.72904972281694,86.23228068256,92.08704865503128,697.2157669489388,0.03,0.03,0.5,0.7,0.4,0.05
50.53456381331431,55.19138369769842,60.29909344445689,65.70769366306506,71.4385209411309,77.60157206629799,84.19035238191388,91.36810292894184,99.23064860756999,107.71994794844316,763.2818794928324,0.03,0.03,0.5,0.7,0.4,0.07
76.97085839545636,80.98696020769913,85.3221115198769,89.70362837326414,94.1169611514627,98.71501635936131,103.45964783955844,108.53742145726505,114.0226988566327,119.78613870611146,971.6214428666881,0.03,0.03,0.5,0.85,0.0,0.03
76.97085839545636,82.52637737560823,88.55823875033548,94.80800419564318,101.27062833242599,108.108706122402,115.2973224179384,123.0361727213552,131.41713611307262,140.3307518025061,1062.3241962267437,0.03,0.03,0.5,0.85,0.0,0.05
76.97085839545636,84.06579454351737,91.85594266751039,100.10771216202706,108.83747594036961,118.2306456295502,128.28997181303504,139.24425402246735,151.22050655968974,164.14870090264782,1162.971862636271,0.03,0.03,0.5,0.85,0.0,0.07
73.12231547568348,76.93761219731414,81.05600594388301,85.21844695460092,89.41111309388958,93.7792655413933,98.2866654475805,103.11055038440182,108.32156391380099,113.79683177080592,923.0403707233536,0.03,0.03,0.5,0.85,0.1,0.03
73.12231547568348,78.4000585068278,84.13032681281865,90.06760398586101,96.2070969158047,102.70327081628196,109.53245629704148,116.88436408528744,124.84627930741891,133.31421421238082,1009.2079864154064,0.03,0.03,0.5,0.85,0.1,0.05
73.12231547568348,79.86250481634147,87.26314553413484,95.1023265539257,103.39560214335114,112.31911334807275,121.87547322238328,132.282041321344,143.65948123170514,155.94126585751545,1104.8232695044571,0.03,0.03,0.5,0.85,0.1,0.07
69.2737725559106,72.88826418692916,76.78990036788909,80.73326553593773,84.70526503631648,88.84351472342529,93.11368305560258,97.68367931153861,102.62042897096924,107.8075248355004,874.4592985800192,0.03,0.03,0.5,0.85,0.2,0.03
69.2737725559106,74.27373963804737,79.70241487530183,85.32720377607885,91.14356549918341,97.29783551016192,103.76759017614455,110.7325554492197,118.2754225017652,126.29767662225552,956.091776604069,0.03,0.03,0.5,0.85,0.2,0.05
69.2737725559106,75.65921508916557,82.67034840075925,90.09694094582434,97.95372834633267,106.40758106659528,115.46097463173152,125.31982862022066,136.09845590372058,147.73383081238308,1046.6746763726435,0.03,0.03,0.5,0.85,0.2,0.07
