2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Total,match_rt,phaseout_rt,phaseout_start,takeup_rt,leakage,roi
35.09372913581786,37.46966102465945,39.838260536117076,42.17815111262869,45.02486640528076,47.73776402380489,50.600734429075686,53.41493345033801,56.537396156803844,59.86473183720945,467.76022811173567,0.03,0.03,0.5,0.7,0.0,0.03
35.349231258701806,38.22561681790133,41.18510322733336,44.48374575056357,48.31929773028885,51.90973243058324,55.99827388740258,60.57455218003312,64.87362288278882,69.40683877262316,510.3260149382198,0.03,0.03,0.5,0.7,0.0,0.05
35.2704613035917,38.869240897111446,42.81198176503055,47.320724565952524,51.70931137016542,56.682180245474036,62.17679175191997,67.89132995197917,74.29259563462317,80.73493274938474,557.7595502352327,0.03,0.03,0.5,0.7,0.0,0.07
33.233793158983566,35.53861909031918,37.84063738902357,40.250879543139554,42.607688424886376,45.276409969357,47.92393427654562,50.80952161110541,53.613943043113665,56.82182753184435,443.91725403831833,0.03,0.03,0.5,0.7,0.1,0.03
33.255020167020795,36.38510693551096,39.36259389093169,42.42841680771945,45.944563053428496,49.46794304272062,53.26945922446227,57.02861382558363,61.51918138272354,66.07825826957638,484.7391565996778,0.03,0.03,0.5,0.7,0.1,0.05
33.26830581082431,37.022491332983236,40.63211481722364,45.02751600142247,49.436177759364654,53.9753881034861,58.95301187527839,64.74776077072457,70.41102322897163,77.03021355197778,530.5040032522568,0.03,0.03,0.5,0.7,0.1,0.07
31.50584527234539,33.73531698686887,35.93904617114129,38.163884071591106,40.513676470101515,42.917735532304306,45.38528667631826,48.08667349199922,51.33586716946618,54.10309522564572,421.68642706778184,0.03,0.03,0.5,0.7,0.2,0.03
31.49655857638654,34.31202772752547,37.24164989683695,40.4940597314837,43.740841566424386,46.648682086799056,50.60451208394079,54.27547477457801,58.375009481694526,62.731039093095895,459.9198550187653,0.03,0.03,0.5,0.7,0.2,0.05
31.670815425308447,35.032696451573486,38.65387690079223,42.41235844272488,46.38440236151206,51.197682598693504,56.14714504981778,60.89806883617544,66.64569178859328,72.70093249534688,501.74367035053797,0.03,0.03,0.5,0.7,0.2,0.07
29.732665388091252,31.902496074986715,33.76988379261951,36.18531824647545,38.169620784969595,40.51289881556593,42.84696298991217,45.37909778187175,48.08995595547169,50.70227603427213,397.29117586423615,0.03,0.03,0.5,0.7,0.3,0.03
29.884546226339786,32.45995128491645,35.110586928391704,38.06371106583686,41.02901232115797,44.26263510739751,47.68899500796417,51.26934016601423,55.07264491979268,59.31228704064684,434.15371006845817,0.03,0.03,0.5,0.7,0.3,0.05
29.822222234740735,32.98001308449913,36.4331481406013,40.37308655222286,44.22243995948793,48.23683442137471,53.146725902151815,57.70079184452902,62.965656852387,68.944250507946,474.82516949994044,0.03,0.03,0.5,0.7,0.3,0.07
28.14198213991566,29.933934541392667,31.903762576111923,33.91456577682155,36.02106100988899,38.222179157838674,40.34770701876273,42.744209696989856,45.274343434135105,47.816816458725995,374.3205618105832,0.03,0.03,0.5,0.7,0.4,0.03
28.170167354306084,30.38616608480168,33.03581605673864,35.66392408662585,38.67131455669668,41.55803233831608,44.76508595795474,48.35131333544901,52.009723429452606,55.42893189843934,408.0404750987807,0.03,0.03,0.5,0.7,0.4,0.05
27.987259406671,31.087931783833994,34.27633558183068,37.649025148387494,41.40333589603356,45.45985896616827,49.731821447241245,54.093429084571426,59.092969006305076,64.74748992307087,445.5294562441136,0.03,0.03,0.5,0.7,0.4,0.07
42.69707547879249,45.42422069636116,48.58728788162465,51.567497462978885,54.69683877108235,57.802310110959354,61.28891517969881,64.8514286594652,68.77700485907224,72.73025142335722,568.4228305233923,0.03,0.03,0.5,0.85,0.0,0.03
42.85802258262348,46.27525980389548,50.18677849659494,54.32985209694568,58.581072196168215,63.026871470701714,68.08778434963757,73.4037576840031,78.66368222261312,84.604594947382,620.0176758505653,0.03,0.03,0.5,0.85,0.0,0.05
42.6931073930976,47.11876079955608,52.137260900524836,57.0729409797421,62.99952161127947,68.99717123111363,75.41196723841631,82.69634424763765,90.12187946654207,98.33282852547693,677.5817823933866,0.03,0.03,0.5,0.85,0.0,0.07
40.62866774927963,43.33020470998287,46.05320811181876,48.925456252612484,51.78748981738579,55.0437906415532,58.245609883868696,61.74793771955711,65.38861034985503,69.23922825206348,540.390203487977,0.03,0.03,0.5,0.85,0.1,0.03
40.5356931579947,43.97036340263342,47.66566109546103,51.63831649135649,55.65575543388333,59.94207449529561,64.53918955027108,69.6446777088577,74.73718557316124,80.32113784858817,588.6500547575027,0.03,0.03,0.5,0.85,0.1,0.05
40.58102896455996,44.8335590780035,49.329244765130866,54.246095792282986,59.72554997060636,65.34211292456429,71.68515697377102,78.32452381162871,85.58552824885456,93.30446579444299,642.9572663238453,0.03,0.03,0.5,0.85,0.1,0.07
38.351461420972996,40.95027450859734,43.59470528057318,46.16237186853874,49.235107290255456,51.94369275782232,55.23886603510036,58.41991799962037,62.01975137519595,65.38782784373969,511.3039763804164,0.03,0.03,0.5,0.85,0.2,0.03
38.42262599974363,41.72955163889564,45.137140623031954,48.90899371064367,52.75980239036275,57.02480393240192,61.390381849213085,65.9307351069514,70.9269083839874,75.90049283982128,558.1314364750527,0.03,0.03,0.5,0.85,0.2,0.05
38.3622247058407,42.50057423954175,46.877420628026734,51.41509007320825,56.66363483677475,61.979171895239155,67.7392098749493,74.1225004580516,80.92419884037551,88.57559354561069,609.1596190976186,0.03,0.03,0.5,0.85,0.2,0.07
